citizen,country,time,TOTAL,TOTAL_POS
AF,EL,2013Q1,155.0,15.0
AF,EL,2013Q2,140.0,5.0
AF,EL,2013Q3,245.0,5.0
AF,EL,2013Q4,390.0,70.0
AF,EL,2014Q1,480.0,95.0
AF,EL,2014Q2,760.0,130.0
AF,EL,2014Q3,355.0,165.0
AF,EL,2014Q4,210.0,115.0
AF,EL,2015Q1,210.0,125.0
AF,EL,2015Q2,165.0,85.0
AF,EL,2015Q3,115.0,70.0
AF,EL,2015Q4,130.0,65.0
AF,EL,2016Q1,105.0,45.0
AF,EL,2016Q2,125.0,65.0
AF,EL,2016Q3,130.0,55.0
AF,EL,2016Q4,80.0,40.0
AF,EL,2017Q1,150.0,105.0
AF,EL,2017Q2,480.0,385.0
AF,EL,2017Q3,640.0,500.0
AF,EL,2017Q4,865.0,630.0
AF,ES,2008Q1,0.0,0.0
AF,ES,2008Q2,0.0,0.0
AF,ES,2008Q3,10.0,5.0
AF,ES,2008Q4,15.0,5.0
AF,ES,2009Q1,25.0,0.0
AF,ES,2009Q2,15.0,0.0
AF,ES,2009Q3,15.0,5.0
AF,ES,2009Q4,5.0,0.0
AF,ES,2010Q1,5.0,5.0
AF,ES,2010Q2,15.0,5.0
AF,ES,2010Q3,15.0,5.0
AF,ES,2010Q4,10.0,5.0
AF,ES,2011Q1,10.0,5.0
AF,ES,2011Q2,5.0,5.0
AF,ES,2011Q3,15.0,10.0
AF,ES,2011Q4,5.0,5.0
AF,ES,2012Q1,0.0,0.0
AF,ES,2012Q2,15.0,15.0
AF,ES,2012Q3,15.0,15.0
AF,ES,2012Q4,10.0,5.0
AF,ES,2013Q1,15.0,15.0
AF,ES,2013Q2,5.0,5.0
AF,ES,2013Q3,5.0,0.0
AF,ES,2013Q4,5.0,5.0
AF,ES,2014Q1,5.0,0.0
AF,ES,2014Q2,20.0,15.0
AF,ES,2014Q3,15.0,10.0
AF,ES,2014Q4,5.0,5.0
AF,ES,2015Q1,5.0,5.0
AF,ES,2015Q2,30.0,30.0
AF,ES,2015Q3,5.0,5.0
AF,ES,2015Q4,10.0,10.0
AF,ES,2016Q1,20.0,15.0
AF,ES,2016Q2,10.0,10.0
AF,ES,2016Q3,0.0,0.0
AF,ES,2016Q4,15.0,15.0
AF,ES,2017Q1,25.0,25.0
AF,ES,2017Q2,25.0,15.0
AF,ES,2017Q3,10.0,5.0
AF,ES,2017Q4,,
AF,EU28,2008Q1,,
AF,EU28,2008Q2,,
AF,EU28,2008Q3,,
AF,EU28,2008Q4,,
AF,EU28,2009Q1,,
AF,EU28,2009Q2,,
AF,EU28,2009Q3,,
AF,EU28,2009Q4,,
AF,EU28,2010Q1,,
AF,EU28,2010Q2,,
AF,EU28,2010Q3,,
AF,EU28,2010Q4,,
AF,EU28,2011Q1,4815.0,2195.0
AF,EU28,2011Q2,5575.0,2610.0
AF,EU28,2011Q3,6220.0,2840.0
AF,EU28,2011Q4,6005.0,2750.0
AF,EU28,2012Q1,5525.0,2490.0
AF,EU28,2012Q2,5195.0,2495.0
AF,EU28,2012Q3,4995.0,2430.0
AF,EU28,2012Q4,5235.0,2715.0
AF,EU28,2013Q1,5455.0,2740.0
AF,EU28,2013Q2,6105.0,3380.0
AF,EU28,2013Q3,5610.0,2995.0
AF,EU28,2013Q4,5180.0,2735.0
AF,EU28,2014Q1,4190.0,2535.0
AF,EU28,2014Q2,5045.0,3040.0
AF,EU28,2014Q3,5125.0,3580.0
AF,EU28,2014Q4,5050.0,3415.0
AF,EU28,2015Q1,4480.0,3065.0
AF,EU28,2015Q2,4230.0,3005.0
AF,EU28,2015Q3,4520.0,3170.0
AF,EU28,2015Q4,6215.0,3670.0
AF,EU28,2016Q1,7410.0,4215.0
AF,EU28,2016Q2,12830.0,6810.0
AF,EU28,2016Q3,27305.0,13850.0
AF,EU28,2016Q4,55375.0,33535.0
AF,EU28,2017Q1,59470.0,28060.0
AF,EU28,2017Q2,52115.0,24940.0
AF,EU28,2017Q3,29135.0,14035.0
AF,EU28,2017Q4,,
AF,FI,2008Q1,10.0,10.0
AF,FI,2008Q2,20.0,15.0
AF,FI,2008Q3,10.0,10.0
AF,FI,2008Q4,25.0,15.0
AF,FI,2009Q1,15.0,10.0
AF,FI,2009Q2,65.0,20.0
AF,FI,2009Q3,15.0,5.0
AF,FI,2009Q4,95.0,35.0
AF,FI,2010Q1,110.0,50.0
AF,FI,2010Q2,125.0,50.0
AF,FI,2010Q3,85.0,30.0
AF,FI,2010Q4,65.0,35.0
AF,FI,2011Q1,50.0,20.0
AF,FI,2011Q2,95.0,30.0
AF,FI,2011Q3,65.0,35.0
AF,FI,2011Q4,85.0,50.0
AF,FI,2012Q1,60.0,30.0
AF,FI,2012Q2,100.0,75.0
AF,FI,2012Q3,95.0,70.0
AF,FI,2012Q4,110.0,85.0
AF,FI,2013Q1,65.0,40.0
AF,FI,2013Q2,110.0,75.0
AF,FI,2013Q3,75.0,55.0
AF,FI,2013Q4,45.0,30.0
AF,FI,2014Q1,50.0,40.0
AF,FI,2014Q2,45.0,35.0
AF,FI,2014Q3,25.0,20.0
AF,FI,2014Q4,25.0,20.0
AF,FI,2015Q1,30.0,25.0
AF,FI,2015Q2,35.0,25.0
AF,FI,2015Q3,45.0,30.0
AF,FI,2015Q4,50.0,30.0
AF,FI,2016Q1,230.0,85.0
AF,FI,2016Q2,865.0,310.0
AF,FI,2016Q3,1505.0,575.0
AF,FI,2016Q4,1610.0,675.0
AF,FI,2017Q1,510.0,225.0
AF,FI,2017Q2,345.0,140.0
AF,FI,2017Q3,240.0,90.0
AF,FI,2017Q4,240.0,110.0
AF,FR,2008Q1,60.0,15.0
AF,FR,2008Q2,55.0,20.0
AF,FR,2008Q3,35.0,10.0
AF,FR,2008Q4,65.0,20.0
AF,FR,2009Q1,65.0,20.0
AF,FR,2009Q2,65.0,15.0
AF,FR,2009Q3,75.0,20.0
AF,FR,2009Q4,160.0,75.0
AF,FR,2010Q1,120.0,45.0
AF,FR,2010Q2,110.0,40.0
AF,FR,2010Q3,125.0,40.0
AF,FR,2010Q4,95.0,30.0
AF,FR,2011Q1,75.0,30.0
AF,FR,2011Q2,95.0,30.0
AF,FR,2011Q3,145.0,45.0
AF,FR,2011Q4,180.0,85.0
AF,FR,2012Q1,145.0,65.0
AF,FR,2012Q2,145.0,85.0
AF,FR,2012Q3,180.0,80.0
AF,FR,2012Q4,140.0,45.0
AF,FR,2013Q1,215.0,130.0
AF,FR,2013Q2,225.0,155.0
AF,FR,2013Q3,245.0,165.0
AF,FR,2013Q4,225.0,150.0
AF,FR,2014Q1,190.0,145.0
AF,FR,2014Q2,195.0,160.0
AF,FR,2014Q3,160.0,130.0
AF,FR,2014Q4,190.0,170.0
AF,FR,2015Q1,145.0,130.0
AF,FR,2015Q2,165.0,140.0
AF,FR,2015Q3,265.0,210.0
AF,FR,2015Q4,270.0,220.0
AF,FR,2016Q1,590.0,475.0
AF,FR,2016Q2,1155.0,970.0
AF,FR,2016Q3,1210.0,980.0
AF,FR,2016Q4,1575.0,1305.0
AF,FR,2017Q1,1430.0,1200.0
AF,FR,2017Q2,1870.0,1600.0
AF,FR,2017Q3,2195.0,1855.0
AF,FR,2017Q4,,
AF,HR,2008Q1,,
AF,HR,2008Q2,,
AF,HR,2008Q3,,
AF,HR,2008Q4,,
AF,HR,2009Q1,,
AF,HR,2009Q2,,
AF,HR,2009Q3,,
AF,HR,2009Q4,,
AF,HR,2010Q1,,
AF,HR,2010Q2,,
AF,HR,2010Q3,,
AF,HR,2010Q4,,
AF,HR,2011Q1,,
AF,HR,2011Q2,,
AF,HR,2011Q3,,
AF,HR,2011Q4,,
AF,HR,2012Q1,5.0,0.0
AF,HR,2012Q2,0.0,0.0
AF,HR,2012Q3,5.0,0.0
AF,HR,2012Q4,0.0,0.0
AF,HR,2013Q1,5.0,0.0
AF,HR,2013Q2,5.0,0.0
AF,HR,2013Q3,5.0,0.0
AF,HR,2013Q4,0.0,0.0
AF,HR,2014Q1,0.0,0.0
AF,HR,2014Q2,0.0,0.0
AF,HR,2014Q3,5.0,0.0
AF,HR,2014Q4,0.0,0.0
AF,HR,2015Q1,0.0,0.0
AF,HR,2015Q2,0.0,0.0
AF,HR,2015Q3,0.0,0.0
AF,HR,2015Q4,0.0,0.0
AF,HR,2016Q1,0.0,0.0
AF,HR,2016Q2,0.0,0.0
AF,HR,2016Q3,10.0,5.0
AF,HR,2016Q4,20.0,15.0
AF,HR,2017Q1,15.0,5.0
AF,HR,2017Q2,10.0,0.0
AF,HR,2017Q3,30.0,0.0
AF,HR,2017Q4,25.0,5.0
AF,HU,2008Q1,5.0,5.0
AF,HU,2008Q2,20.0,20.0
AF,HU,2008Q3,15.0,10.0
AF,HU,2008Q4,40.0,25.0
AF,HU,2009Q1,65.0,35.0
AF,HU,2009Q2,20.0,15.0
AF,HU,2009Q3,50.0,30.0
AF,HU,2009Q4,185.0,75.0
AF,HU,2010Q1,130.0,30.0
AF,HU,2010Q2,75.0,20.0
AF,HU,2010Q3,100.0,45.0
AF,HU,2010Q4,70.0,25.0
AF,HU,2011Q1,60.0,15.0
AF,HU,2011Q2,95.0,35.0
AF,HU,2011Q3,105.0,15.0
AF,HU,2011Q4,130.0,25.0
AF,HU,2012Q1,105.0,25.0
AF,HU,2012Q2,180.0,65.0
AF,HU,2012Q3,110.0,55.0
AF,HU,2012Q4,70.0,30.0
AF,HU,2013Q1,45.0,25.0
AF,HU,2013Q2,95.0,30.0
AF,HU,2013Q3,85.0,15.0
AF,HU,2013Q4,55.0,15.0
AF,HU,2014Q1,80.0,15.0
AF,HU,2014Q2,85.0,15.0
AF,HU,2014Q3,55.0,20.0
AF,HU,2014Q4,105.0,35.0
AF,HU,2015Q1,45.0,20.0
AF,HU,2015Q2,80.0,15.0
AF,HU,2015Q3,130.0,20.0
